50000 9986 10001
7180	4626
2033	6121
1655	2700
6466	4347
4656	8877
2193	161
3533    2
6218	8024
864	2265
4309	7365
8780	6147
862	5051
2414	121
5468	2282
8951	6473
8817	603
6236	3551
2400	9774
8823	8643
4829	1415
7626	2052
4259	8556
7512	568
2724	4323
211	162
7665	5271
5641	5498
1269	2052
3497	8954
7063	4457
9663	2442
6820	4259
9802	9350
8326	2216
9813	4915
907	2684
3184	5705
9511	3592
1550	1749
2995	3702
9038	8026
2387	5876
3047	8010
7343	1944
8046	6278
7668	2887
3366	6261
8092	4351
8938	7171
400	1872
6451	6465
6842	7404
120	1165
4316	9345
9258	7683
3062	3664
903	2079
7054	2156
2300	1031
7982	2896
2130	562
6178	1022
8101	1829
8818	6968
4392	7302
5868	2081
5749	6616
1896	3545
3377	6810
3820	6727
9866	9097
4814	7036
5912	706
733	1404
6271	8770
48	4765
5464	3129
4117	1971
2145	5242
7447	6981
50	642
8210	7471
6766	9770
9959	4283
5	1213
9412	3732
8798	9183
5195	5606
7422	3065
1800	9109
9841	8928
7285	8838
4933	1620
3376	4196
5246	3633
9596	8505
2855	9659
4918	7867
1410	1929
1736	3071
1737	1057
9787	8026
170	806
6567	1042
45	9482
5139	5001
5787	4387
2034	6802
6316	1251
8523	7237
3531	9012
6284	9996
3004	7104
6967	9617
9133	3038
6221	5309
5015	2278
5565	6177
1640	9090
5809	2608
3605	3766
1763	7111
4348	5897
3741	31
151	8278
6119	9411
3553	405
2762	8742
1156	7946
6304	1708
2156	3837
729	9855
3061	9811
9893	4723
2684	1689
8916	5396
5827	2338
4521	3014
9002	4563
5106	1941
7527	5877
9307	9717
8168	2654
6188	7059
5526	8033
672	9873
6497	365
6911	5748
4184	6829
9005	1038
3191	3857
6827	7511
1826	5741
2898	4397
8226	5206
3360	1864
8585	7895
2551	5508
5306	3970
9185	6002
4375	9464
7598	3379
858	2990
6903	7418
6529	2636
5068	429
7870	3265
9784	1197
8448	7970
5955	1061
4067	9495
8521	9392
2287	5375
6446	8153
2529	5488
7938	7076
6734	7834
675	959
5658	8475
3513	9197
1839	6326
77	1154
7515	9471
5545	9387
9861	5809
5659	4212
9630	7293
3584	9156
7595	7558
5531	7627
3444	2380
4067	664
4325	8740
4063	2680
2137	9596
600	8384
2915	3186
1368	4965
8738	7879
9517	2902
187	9097
5589	1709
1389	9016
8387	5391
4774	7480
1738	5936
4811	7707
8437	9082
9678	2159
9766	1043
5666	7919
917	4297
2098	1958
9716	135
113	4805
5666	5519
2501	6073
7059	5485
7013	7085
2006	1686
6213	6053
2847	4971
3778	7977
1345	5303
551	8673
2514	8478
8146	913
3433	747
2247	3769
6176	2015
4616	8840
5403	6868
9221	8597
4802	8057
6258	4685
2646	1033
9549	9059
4527	7224
4274	8739
6850	8161
9118	4523
7469	6645
8643	4900
8924	9406
7205	6973
6113	7101
7995	943
1859	7541
5004	2785
4528	1351
4801	8585
307	9663
664	267
5686	7780
5485	1437
2544	4930
4120	8221
2303	9447
8577	2215
1574	9468
4868	2288
9658	3262
5216	5845
651	5519
2197	6131
3356	6430
8934	9889
5601	3479
8790	6952
1528	9701
1476	5459
3381	3197
1908	4012
714	8620
6439	9325
8706	362
6522	5607
1905	4914
3470	9402
7837	2258
7512	8343
7904	4874
8759	2578
5507	2625
6186	4669
1910	456
3722	2408
8497	9769
7647	7024
6895	8194
5319	4424
7610	8514
9434	20
6443	1312
4814	5760
5470	4714
6702	8545
8675	2478
8606	3023
3933	273
8684	7271
9399	3437
2644	5061
6103	8390
7014	9026
1008	6528
5999	1797
3228	6895
2796	3497
5455	9206
8266	9141
1645	7820
3037	5076
2764	8605
5369	6728
8488	7413
2571	4850
7036	9463
4983	9776
2460	4418
192	7717
6773	4350
6444	7775
2738	991
9419	4582
1663	4136
1175	9257
6781	9330
4482	8043
7752	1162
244	3313
9136	6438
6886	9614
8572	3033
8174	5940
8176	8489
7449	9540
9165	9761
4555	7495
2561	5556
3126	5731
7949	1801
7210	7413
9313	265
7573	9801
5404	4767
1616	438
5554	5133
9503	5530
2217	4054
4876	4265
7610	9931
6152	2171
582	6698
5226	6848
6111	8352
7136	7723
9479	9442
3049	8820
7822	4069
7282	4728
3202	2630
1006	416
2374	9327
3090	5380
2137	667
2629	3729
1677	5311
9785	5369
2869	4186
5496	4070
2449	3324
2685	9507
2565	2777
89	2588
7178	1929
7869	6069
4821	2364
3852	382
7417	3460
9479	4568
3811	9567
2366	646
9710	8821
5259	1482
4691	3129
3275	3256
6856	5841
8057	1103
2926	5603
4246	6895
5974	9981
2108	8915
6891	5838
5449	5166
2197	3908
5843	7570
8397	8989
1384	8995
1286	6757
9618	6356
8161	4440
6860	7533
5068	364
366	477
7617	6862
1592	2083
1105	7726
4239	8238
8137	7530
7702	6268
5241	1297
826	9440
5327	2854
4063	5190
1630	7233
831	4035
4337	6119
9583	9459
8069	2809
1651	6896
7843	3206
8775	4184
2867	1264
982	427
5795	2879
9797	9853
5957	6546
4033	1520
9690	2613
123	3883
7852	3073
5346	7033
5352	2082
3839	7721
141	6031
397	3785
3189	1516
7568	3279
5119	3467
4454	2184
8902	1371
4701	7571
6381	667
4113	2235
957	4800
1311	2422
1055	4871
6002	8110
8617	6386
311	5244
68	6835
410	2985
3525	3991
3795	4964
5370	2992
2431	7990
2692	4317
1118	6400
3663	2419
44	9969
700	5545
7919	6282
4804	9902
901	8285
5391	7477
414	1305
2009	1359
3591	4240
3788	9465
