1881	2430	2105	211	611	2413
2767	1167	2810	856	1181	2695
548	2558	1810	2689	1238	653
254	2415	600	1105	125	2484
809	352	426	61	39	2122
1154	72	399	401	2299	2222
802	1396	2202	422	113	2022
1037	160	2610	188	682	2146
2878	2650	1627	390	2702	2961
2723	223	1761	1944	104	1772
2862	2716	2674	1055	2370	562
1644	1792	938	1554	624	2266
1489	35	2665	580	1707	1995
459	727	2421	214	2789	993
473	698	865	377	278	212
2858	1951	1588	149	692	2977
2626	337	392	2910	1763	1531
1685	2150	2810	1170	1517	1362
222	2207	2166	1371	1621	264
2770	495	584	2953	2151	2403
2543	2410	2715	216	1017	786
2850	1704	2213	705	1905	722
682	359	2347	2961	1594	117
2167	1436	1378	1716	190	2219
515	105	2831	934	317	812
1422	2162	2195	525	589	833
1497	657	2655	233	2608	533
909	2242	1787	2105	1373	27
2950	472	2894	2785	1115	1121
2618	2949	1173	2951	2096	2001
2746	1113	2808	1115	1893	1414
891	1486	1143	2698	1882	292
1725	1581	631	2993	2107	757
1050	1410	1121	1340	2584	2799
975	2458	279	2543	2990	2567
2268	291	2499	176	97	1660
1305	2282	2828	1520	573	1204
1346	986	357	2148	1107	34
2389	1999	178	781	20	655
197	760	370	1140	1287	858
1731	1593	413	168	641	194
2384	2196	1149	173	469	2108
554	1562	1447	2386	2589	109
2645	1851	2722	330	299	1651
2373	1840	767	1758	1840	472
679	2345	853	1963	2505	729
555	2325	798	448	2451	1883
985	2895	1915	1892	2996	2851
952	2959	2463	2283	2016	2679
2233	768	1345	1428	2497	852
1450	833	2135	2541	693	2497
482	794	1191	272	1160	1844
1922	2040	1262	1700	602	1547
2389	1377	2079	1803	1389	1116
1358	633	514	1443	440	2527
2344	2092	991	2388	2955	1203
1893	2933	1852	175	220	2742
569	372	1887	2131	2593	590
489	2516	276	860	1757	1606
2372	932	333	316	110	1898
1537	2607	2718	2719	718	1493
2244	37	1572	2077	2676	2989
2425	2819	1009	2433	2923	85
905	2724	290	1740	53	694
77	2919	2363	1198	216	1781
2419	240	1643	1009	2010	2368
2949	1436	2709	657	1311	2634
1729	1368	648	1588	2433	1441
1290	6	1597	53	358	1191
2583	2190	1283	1045	667	2843
1752	1267	2736	831	2095	2183
2893	2410	285	2652	356	213
1517	2192	2159	2931	1404	2144
1715	1841	644	1414	2892	904
389	1195	550	2331	2594	965
409	1915	698	868	238	1905
1587	1973	1301	1207	1597	337
1583	2575	568	2358	228	1352
314	202	243	820	51	1680
815	2740	2553	1426	352	383
1449	1655	1357	1466	1215	1689
618	447	1180	481	631	661
353	2282	2667	917	2290	1635
1468	1475	649	1804	2177	793
1237	2092	2281	2925	1977	1168
1478	973	2847	1153	1037	8
2285	2786	200	608	1565	1062
2711	1561	1405	2143	1746	527
1282	2135	1700	2392	2633	169
2966	2140	2982	28	1867	1740
366	797	1600	1057	856	2534
2530	2956	1672	2200	1054	12
2257	1325	826	2761	2258	547
511	349	2139	2946	807	2276
2063	2515	2169	2119	1834	2727
937	1314	1541	797	2734	697
2365	1000	1668	1995	2710	2799
1441	2979	2607	53	2655	1877
2538	2612	2413	244	580	1529
2839	1429	467	2828	100	2342
2921	1726	766	1729	81	629
1531	2912	495	1455	2809	2434
549	981	1925	284	1917	322
2039	2588	69	777	1887	941
2936	361	2141	142	32	1440
2855	2673	1005	1873	1392	289
1383	2785	1189	330	1336	2165
488	538	588	324	2519	2931
1687	220	2605	2827	377	158
1883	153	1480	25	91	2944
1033	1915	6	1939	282	2365
1702	2512	2908	1800	400	2873
1419	2526	727	2973	2118	2063
2907	1960	822	1692	2907	2478
2744	2064	1564	2072	30	1298
2559	791	1593	2075	2618	733
162	2283	752	2854	657	2300
612	1471	1345	2730	2087	579
713	1039	2478	2145	1142	2307
1886	430	1873	2395	2804	1196
799	201	2736	2967	29	954
2106	2279	666	1671	2985	7
520	626	2583	947	1885	1873
1159	255	620	2411	2602	619
2473	1942	2684	792	1828	2208
2158	1252	1276	921	1164	1916
1175	1483	694	2705	503	1668
1207	1387	2531	345	1231	2051
1340	286	923	2217	2711	1980
1341	1007	284	577	2411	1594
2018	596	2836	1692	2016	2141
951	1324	643	1562	2542	2787
1361	1817	2675	1434	230	280
2497	134	2509	878	2612	2091
759	2151	2405	2532	2060	1103
547	2539	698	1006	922	1856
1261	24	1848	1325	2671	1833
1126	191	1665	1636	2818	425
910	1202	1402	408	1266	1428
485	2715	2669	179	1857	300
297	1279	2848	133	1674	1451
439	1484	2308	2630	2368	829
1760	1310	822	1909	1898	232
1661	2240	2622	2306	1737	1258
1601	1648	1915	1018	207	1610
1482	2014	2188	927	235	1622
1158	358	1857	1836	2294	2018
367	2813	325	1459	1402	2383
59	712	1769	1854	2701	1403
572	855	1796	1915	966	1077
2756	2301	1167	598	626	2870
1578	2111	1071	1085	287	1053
84	2987	1122	2570	2046	2125
2363	1360	2061	1925	1568	225
2660	911	2563	1675	380	2699
710	2355	1789	912	862	2199
275	2657	2747	2556	187	1048
1315	2512	2993	2601	1449	1116
1345	2867	2907	2756	572	43
2891	1514	2560	986	496	266
2038	864	647	1714	815	1457
2217	1357	1989	2876	2268	1750
2500	2498	2976	920	816	1743
2943	1883	643	850	2991	118
1754	1212	680	269	2274	1769
432	1661	394	1373	1089	1915
479	2674	1749	142	1446	1042
1182	475	2007	575	625	1882
1766	2122	423	453	313	1474
764	2791	92	1096	319	2093
2877	414	988	1719	202	2529
2861	1269	33	2751	1392	527
2907	2261	1463	2756	1504	2024
2726	731	602	455	2178	2996
1395	130	1855	2778	1671	964
892	13	626	2263	1663	2595
2375	1391	2751	2105	780	36
832	390	2327	2852	2724	687
732	1720	1835	166	1209	714
2349	1793	2863	2694	2022	808
1492	2365	499	2071	2477	314
2296	2603	2709	167	1211	2593
885	61	449	2851	2899	1227
1144	358	2091	1133	1742	68
2427	2673	2668	970	1417	632
1911	192	1163	1887	2742	2622
855	1949	620	2288	887	1593
2280	2555	678	1259	63	1831
325	1626	1268	727	798	2672
2728	1855	57	1764	287	838
1687	2771	164	1951	14	2023
1732	487	2609	2569	2354	1481
1773	2129	2416	102	1938	2747
1935	2303	1768	1248	488	1131
2756	2154	1898	892	1525	586
1798	2185	528	1396	2573	1956
2855	2528	178	914	468	598
1821	2410	21	961	202	2345
1346	865	2396	2565	547	208
2348	91	210	803	1609	2585
895	2481	1601	120	1803	852
1956	2789	2680	1365	2742	1491
2293	2936	2593	1501	1688	763
1202	1354	1183	2292	665	37
2799	2550	1485	2804	1006	1151
557	2129	2818	518	1153	2948
306	1987	2315	2650	2131	1995
549	900	1785	1063	2778	2628
1742	2556	1860	835	31	823
638	2600	2221	2845	16	842
1548	1878	2722	311	1170	2471
284	2262	2160	627	326	1940
2791	2413	1542	1715	2644	1098
505	269	2624	1923	451	2835
2715	1205	502	1379	538	2204
711	1440	616	1612	1372	1936
1684	2896	136	246	1393	588
1964	1271	717	2611	229	1225
2852	641	2129	971	1782	2676
2344	2500	955	1648	2730	1769
443	2127	1584	2847	1486	1466
1097	1806	186	681	2562	1193
520	1978	249	1257	215	241
1125	1875	1575	1077	297	775
1886	1700	2207	196	540	636
2096	2069	2349	2160	2106	252
1083	2519	1118	2912	2516	2595
2652	1415	1386	567	1072	1865
772	2531	160	2878	1794	1813
1216	2823	1248	819	5	1262
2302	2230	283	1956	1102	146
1283	511	2689	364	2153	1656
1603	2707	2897	2701	2388	654
1837	2865	1496	2376	2805	1116
2268	779	253	2295	2983	251
1678	2553	1999	2399	1313	364
800	1869	1809	2447	2630	2341
858	2743	741	255	2403	1381
1549	2363	1942	1956	1334	2582
2823	1645	2071	2226	1221	1124
1436	725	683	1154	132	1884
1059	1160	596	1010	646	125
76	2691	34	1402	2728	2401
814	1468	2661	538	34	513
591	722	1499	528	1564	1436
2009	1607	2053	1673	499	2366
1463	435	267	2770	619	1344
590	249	1642	730	2792	112
1606	1420	2868	536	1221	2561
562	365	1258	270	2516	564
47	711	738	484	1783	977
518	2994	546	2193	760	2273
1976	1363	2890	869	2294	318
1782	279	1400	2415	1508	69
2622	1451	1999	1835	2068	1955
2761	871	2644	35	1469	2784
1561	1241	1535	1782	212	1944
1175	1734	2476	2458	2856	855
196	1281	1901	252	1792	1213
2411	1103	1661	1865	658	2896
2611	1580	2174	2087	1843	2999
